year,month,dom,hour,min,sec,kp,infi,algeo,apgeo,algsm,apgsm,algse,apgse,tag,rig,zen,azi
2018,5,4,18,0,0,1,2,0.679,131.3,9.372,224.1,23.99,219.1,MTWA,1294,0,0
2018,5,4,18,0,0,1,2,-4.828,226.6,-19.71,316.4,-4.1,313.1,MTWA,1298,0,0
2018,5,4,18,0,0,1,2,-22.06,232.4,-37.54,320.2,-22.13,311.1,MTWA,1303,0,0
2018,5,4,18,0,0,1,2,-53.15,188.3,-57.12,256.1,-35.68,260.7,MTWA,1307,0,0
2018,5,4,18,0,0,1,2,-16.04,133.7,-7.391,222.1,7.372,222.1,MTWA,1311,0,0
2018,5,4,18,0,0,1,2,-30.17,13.91,-20.73,112,-40.63,117.5,MTWA,1316,0,0
2018,5,4,18,0,0,1,2,21.52,207.8,9.395,302.4,27.47,306.6,MTWA,1320,0,0
2018,5,4,18,0,0,1,2,-54.36,161.4,-50.65,231.3,-32.24,242,MTWA,1324,0,0
2018,5,4,18,0,0,1,2,3.795,307.8,-5.877,39.55,-19.32,35.63,MTWA,1328,0,0
2018,5,4,18,0,0,1,2,5.01,106.6,18.82,200.1,24.87,191.5,MTWA,1333,0,0
2018,5,4,18,0,0,1,2,-15.82,302.2,-26.25,38.77,-38.28,27.02,MTWA,1337,0,0
2018,5,4,18,0,0,1,2,22.24,293.1,9.111,21.58,0.662,23.32,MTWA,1341,0,0
2018,5,4,18,0,0,1,2,-39.86,163.5,-37.97,241.4,-18.26,246.6,MTWA,1346,0,0
2018,5,4,18,0,0,1,2,-40.77,229.5,-55.6,312.1,-37.58,298.6,MTWA,1350,0,0
2018,5,4,18,0,0,1,2,38.47,258.9,21.82,349.4,24.08,358.8,MTWA,1354,0,0
2018,5,4,18,0,0,1,2,-1.81,131.8,6.841,223.9,21.53,219.7,MTWA,1358,0,0
2018,5,4,18,0,0,1,2,-46.67,24.17,-34.54,125.7,-50.82,139.5,MTWA,1363,0,0
2018,5,4,18,0,0,1,2,-59.14,260.9,-75.55,0.6669,-64.14,304.9,MTWA,1367,0,0
2018,5,4,18,0,0,1,2,-21.62,285.2,-35.41,21.91,-40.62,5.037,MTWA,1371,0,0
2018,5,4,18,0,0,1,0,-46.7,108.6,-32.43,192.7,-25.36,204.3,MTWA,1376,0,0
2018,5,4,18,0,0,1,0,-2.695,209.1,-14.58,298.8,4.698,297.9,MTWA,1380,0,0
2018,5,4,18,0,0,1,2,-24.83,224.4,-39.15,310.4,-21.49,302.7,MTWA,1384,0,0
2018,5,4,18,0,0,1,2,55.32,132.5,60.58,249.8,78.52,211.4,MTWA,1388,0,0
2018,5,4,18,0,0,1,2,-76.86,29.16,-62.32,144.7,-67.18,192,MTWA,1393,0,0
2018,5,4,18,0,0,1,2,-12.05,93.97,3.615,185,5.228,183.3,MTWA,1397,0,0
2018,5,4,18,0,0,1,2,-32.81,187.2,-38.14,267.2,-16.32,267.7,MTWA,1401,0,0
2018,5,4,18,0,0,1,2,25.9,253.7,9.177,345.1,14.02,349.5,MTWA,1406,0,0
2018,5,4,18,0,0,1,2,55.46,191.5,45.35,299.3,62.65,318.6,MTWA,1410,0,0
2018,5,4,18,0,0,1,2,-48.29,256,-64.98,349.1,-54.24,315.3,MTWA,1414,0,0
2018,5,4,18,0,0,1,2,-44.08,112.6,-30.45,196.6,-22.24,206.8,MTWA,1418,0,0
2018,5,4,18,0,0,1,2,-12.91,93.99,2.758,184.9,4.406,183.5,MTWA,1423,0,0
2018,5,4,18,0,0,1,2,23.46,286.6,9.264,15.39,2.961,17.66,MTWA,1427,0,0
2018,5,4,18,0,0,1,2,8.89,257.7,-7.782,349.1,-3.24,347.1,MTWA,1431,0,0
2018,5,4,18,0,0,1,2,40.8,203.7,28.96,303.5,46.13,314.1,MTWA,1436,0,0
