year,month,dom,hour,min,sec,kp,infi,algeo,apgeo,algsm,apgsm,algse,apgse,tag,rig,zen,azi
2018,5,4,12,0,0,1,2,6.946,187.9,24.16,184.5,24.5,181.8,MTWA,1050,0,0
2018,5,4,12,0,0,1,0,-19.94,264.1,-6.573,259.9,-0.6635,259.9,MTWA,1054,0,0
2018,5,4,12,0,0,1,2,66.74,276.6,68.29,324.8,71.12,339.2,MTWA,1059,0,0
2018,5,4,12,0,0,1,2,-70.62,138.3,-59.75,174.5,-59.77,184.8,MTWA,1063,0,0
2018,5,4,12,0,0,1,0,-57.08,91.21,-63.22,123.7,-67.97,131.8,MTWA,1067,0,0
2018,5,4,12,0,0,1,2,-71.89,252.5,-54.37,233.2,-49.42,237.6,MTWA,1071,0,0
2018,5,4,12,0,0,1,0,-65.27,71.98,-75.47,121.7,-80.07,139.9,MTWA,1076,0,0
2018,5,4,12,0,0,1,2,-32.31,153.7,-21.63,161.4,-23.41,163.8,MTWA,1080,0,0
2018,5,4,12,0,0,1,0,-9.899,169.3,3.88,169.3,2.761,168.9,MTWA,1084,0,0
2018,5,4,12,0,0,1,0,-61.42,84.48,-68.74,124.4,-73.35,135.6,MTWA,1089,0,0
2018,5,4,12,0,0,1,0,-44.78,196.5,-26.02,199.7,-23.84,202.3,MTWA,1093,0,0
2018,5,4,12,0,0,1,2,-42.33,95.41,-49.24,113.7,-54.66,117,MTWA,1097,0,0
2018,5,4,12,0,0,1,0,13.79,243.1,30.8,246.3,36.26,244.6,MTWA,1101,0,0
2018,5,4,12,0,0,1,2,-46.25,325.3,-49.48,302.8,-44.34,299.5,MTWA,1106,0,0
2018,5,4,12,0,0,1,2,11.26,231.4,29.96,232.8,34.66,230.4,MTWA,1110,0,0
2018,5,4,12,0,0,1,2,-22.2,325.9,-27.76,316.3,-23.54,314.2,MTWA,1114,0,0
2018,5,4,12,0,0,1,2,-40.04,80.32,-51.91,95.97,-57.87,96.93,MTWA,1119,0,0
2018,5,4,12,0,0,1,0,-54.7,73.95,-66.91,101.7,-72.74,105.5,MTWA,1123,0,0
2018,5,4,12,0,0,1,0,-61.47,6.694,-75.56,328.4,-71.7,312.6,MTWA,1127,0,0
2018,5,4,12,0,0,1,2,-24.62,302.3,-22.15,293,-16.61,292.2,MTWA,1131,0,0
2018,5,4,12,0,0,1,2,19.67,213.3,39.21,212.1,42.21,207.6,MTWA,1136,0,0
2018,5,4,12,0,0,1,2,-7.207,266.9,5.018,265.8,11,265.8,MTWA,1140,0,0
2018,5,4,12,0,0,1,2,16.79,134.1,18.78,127,13.97,126,MTWA,1144,0,0
2018,5,4,12,0,0,1,0,-27.86,110.5,-31.02,120.7,-36.11,122.9,MTWA,1149,0,0
2018,5,4,12,0,0,1,2,-8.336,65.5,-24.99,67.82,-30.53,66.59,MTWA,1153,0,0
2018,5,4,12,0,0,1,2,13.68,233.3,32.14,235.3,37.01,232.8,MTWA,1157,0,0
2018,5,4,12,0,0,1,2,35.77,290.8,38.21,304.8,43.04,307.8,MTWA,1161,0,0
2018,5,4,12,0,0,1,2,-30.44,172.9,-15.32,177.4,-15.49,179,MTWA,1166,0,0
2018,5,4,12,0,0,1,2,-2.493,92.58,-12.78,94.04,-18.76,94.16,MTWA,1170,0,0
2018,5,4,12,0,0,1,2,-23.62,63.43,-40.37,69.08,-45.94,66.96,MTWA,1174,0,0
2018,5,4,12,0,0,1,0,55.21,161.9,62.63,130.2,57.84,123.9,MTWA,1179,0,0
2018,5,4,12,0,0,1,2,8.412,344.9,-4.227,344.7,-2.637,344.3,MTWA,1183,0,0
2018,5,4,12,0,0,1,2,66.97,53.62,47.99,45.04,43.57,49.23,MTWA,1187,0,0
2018,5,4,12,0,0,1,2,47.46,119.3,42.16,99.53,36.24,98.76,MTWA,1191,0,0
2018,5,4,12,0,0,1,2,-27.37,274.5,-16.35,267.1,-10.36,267.2,MTWA,1196,0,0
2018,5,4,12,0,0,1,2,13.26,156.7,22.72,150.2,19.66,148.3,MTWA,1200,0,0
2018,5,4,12,0,0,1,2,-27.96,193.8,-9.592,195.3,-7.941,196.2,MTWA,1204,0,0
2018,5,4,12,0,0,1,0,-43.47,92.32,-51.27,111.4,-56.79,114.6,MTWA,1209,0,0
2018,5,4,12,0,0,1,0,-50.64,162.2,-36.92,175.1,-37.18,179.6,MTWA,1213,0,0
2018,5,4,12,0,0,1,2,-46.52,86.87,-55.75,108,-61.4,111.3,MTWA,1217,0,0
2018,5,4,12,0,0,1,2,4.194,26.46,-15.13,25.37,-17.64,23.76,MTWA,1221,0,0
2018,5,4,12,0,0,1,2,-55.01,111.8,-54.72,139.4,-58.33,146.6,MTWA,1226,0,0
2018,5,4,12,0,0,1,2,-43.21,91.71,-51.23,110.6,-56.79,113.7,MTWA,1230,0,0
2018,5,4,12,0,0,1,2,-13.86,156.3,-3.318,158,-5.527,158.5,MTWA,1234,0,0
2018,5,4,12,0,0,1,2,11.58,66.46,-5.227,65.1,-10.67,64.74,MTWA,1239,0,0
2018,5,4,12,0,0,1,2,-19.37,271.8,-7.987,267.1,-1.995,267.1,MTWA,1243,0,0
2018,5,4,12,0,0,1,2,30.33,316.5,24.78,325.6,28.04,328.1,MTWA,1247,0,0
2018,5,4,12,0,0,1,2,-12.71,163.7,-0.2205,164.7,-1.785,164.8,MTWA,1251,0,0
2018,5,4,12,0,0,1,0,10.34,290.5,14.64,294,20.09,294.7,MTWA,1256,0,0
2018,5,4,12,0,0,1,0,56.07,311,49.73,335.2,51.91,342,MTWA,1260,0,0
2018,5,4,12,0,0,1,0,-22.22,250.8,-5.997,247.2,-0.4555,247.4,MTWA,1264,0,0
2018,5,4,12,0,0,1,2,-22.85,158.1,-11.45,162.3,-13.2,163.5,MTWA,1268,0,0
2018,5,4,12,0,0,1,2,-34.96,107.7,-38.5,121.4,-43.53,124.2,MTWA,1273,0,0
2018,5,4,12,0,0,1,2,-49.86,112.5,-50.15,135.4,-54.14,141.2,MTWA,1277,0,0
2018,5,4,12,0,0,1,2,-47.39,260.8,-32.35,249.3,-26.7,250.5,MTWA,1281,0,0
2018,5,4,12,0,0,1,2,75.09,206.1,84.64,60.22,79.02,75.89,MTWA,1286,0,0
2018,5,4,12,0,0,1,2,-23.47,21.43,-42.33,17.23,-43.84,11.78,MTWA,1290,0,0
2018,5,4,12,0,0,1,2,-52.51,128.7,-47.34,150.7,-49.98,156.8,MTWA,1294,0,0
2018,5,4,12,0,0,1,2,-30.42,115.8,-31.62,126.9,-36.33,129.4,MTWA,1298,0,0
2018,5,4,12,0,0,1,2,-63.82,265.2,-48.65,245.2,-43.15,247.6,MTWA,1303,0,0
2018,5,4,12,0,0,1,2,-51.17,206.3,-31.79,207.8,-28.83,210.9,MTWA,1307,0,0
2018,5,4,12,0,0,1,2,1.535,230.3,20.38,230.5,24.97,228.9,MTWA,1311,0,0
2018,5,4,12,0,0,1,2,-40.34,261.8,-25.76,252.3,-20.03,253.1,MTWA,1316,0,0
2018,5,4,12,0,0,1,2,-8.742,71.69,-24.15,74.51,-29.92,73.66,MTWA,1320,0,0
2018,5,4,12,0,0,1,2,-47.24,154.6,-35.48,167.8,-36.5,172.1,MTWA,1324,0,0
2018,5,4,12,0,0,1,2,30.99,312.6,26.64,322.4,30.17,325,MTWA,1328,0,0
2018,5,4,12,0,0,1,2,-40.4,179.4,-23.83,185.2,-23.12,187.8,MTWA,1333,0,0
2018,5,4,12,0,0,1,2,30.82,146.6,36.01,133.2,31.55,130.6,MTWA,1337,0,0
2018,5,4,12,0,0,1,2,15.95,91.42,4.595,87.69,-1.4,87.7,MTWA,1341,0,0
2018,5,4,12,0,0,1,2,11.54,221.8,30.95,221.9,34.85,219,MTWA,1346,0,0
2018,5,4,12,0,0,1,2,-32.73,191.9,-14.53,194.3,-12.96,195.7,MTWA,1350,0,0
2018,5,4,12,0,0,1,2,44.44,175.6,57.57,156.4,54.78,148.4,MTWA,1354,0,0
2018,5,4,12,0,0,1,2,22.84,311.1,19.52,317.8,23.47,319.6,MTWA,1358,0,0
2018,5,4,12,0,0,1,2,-27.95,150.3,-18.43,156.9,-20.66,158.9,MTWA,1363,0,0
2018,5,4,12,0,0,1,2,-41.16,261.4,-26.47,251.8,-20.76,252.6,MTWA,1367,0,0
2018,5,4,12,0,0,1,2,-18.36,184.9,-1.3,185.7,-0.6762,185.8,MTWA,1371,0,0
2018,5,4,12,0,0,1,0,-47.82,160.1,-34.72,172.3,-35.28,176.5,MTWA,1376,0,0
2018,5,4,12,0,0,1,0,-50.85,64.08,-66.32,83.8,-72.27,81.8,MTWA,1380,0,0
2018,5,4,12,0,0,1,2,2.819,154.7,12.2,151.7,9.313,150.7,MTWA,1384,0,0
2018,5,4,12,0,0,1,2,-46.1,189.7,-28,194.7,-26.31,197.6,MTWA,1388,0,0
2018,5,4,12,0,0,1,2,0.8238,186.2,17.84,183.8,18.15,181.9,MTWA,1393,0,0
2018,5,4,12,0,0,1,2,-62.73,262.6,-47.21,244.2,-41.75,246.6,MTWA,1397,0,0
2018,5,4,12,0,0,1,2,14.19,226.6,33.31,227.6,37.64,224.6,MTWA,1401,0,0
2018,5,4,12,0,0,1,2,-10.11,307,-10.14,302.7,-5.086,302.3,MTWA,1406,0,0
2018,5,4,12,0,0,1,2,32.2,228.5,51.05,232.4,55.64,227.2,MTWA,1410,0,0
2018,5,4,12,0,0,1,2,53.15,204,71.98,192.2,72.28,173.6,MTWA,1414,0,0
2018,5,4,12,0,0,1,2,21.07,283.5,27,291.2,32.57,292.4,MTWA,1418,0,0
2018,5,4,12,0,0,1,2,-27.61,243.5,-10.11,239.6,-4.912,240,MTWA,1423,0,0
2018,5,4,12,0,0,1,0,39.71,303.5,37.58,318.4,41.4,322.2,MTWA,1427,0,0
2018,5,4,12,0,0,1,2,-2.848,56.78,-20.96,57.56,-25.99,56.13,MTWA,1431,0,0
2018,5,4,12,0,0,1,2,-46.18,158.4,-33.58,170.3,-34.36,174.3,MTWA,1436,0,0
2018,5,4,12,0,0,1,2,-15.61,241.3,2.059,239.5,7.229,239.2,MTWA,1440,0,0
2018,5,4,12,0,0,1,2,32.66,308.9,29.37,319.8,33.11,322.6,MTWA,1444,0,0
2018,5,4,12,0,0,1,0,56.66,231.3,74.57,249.4,79.96,237.5,MTWA,1448,0,0
2018,5,4,12,0,0,1,2,-5.994,246.6,10.69,246.3,16.18,245.7,MTWA,1453,0,0
2018,5,4,12,0,0,1,2,33.82,277.6,40.79,290.9,46.34,293.1,MTWA,1457,0,0
2018,5,4,12,0,0,1,2,31.7,228.6,50.56,232.4,55.15,227.3,MTWA,1461,0,0
2018,5,4,12,0,0,1,2,15.69,217.4,35.23,217,38.69,213.3,MTWA,1466,0,0
2018,5,4,12,0,0,1,2,9.305,209.6,28.76,208.1,31.44,205,MTWA,1470,0,0
2018,5,4,12,0,0,1,2,45.07,174,57.67,153.9,54.67,146.2,MTWA,1474,0,0
2018,5,4,12,0,0,1,2,-21.44,157.3,-10.3,161.1,-12.16,162.3,MTWA,1478,0,0
2018,5,4,12,0,0,1,2,43.43,194.2,61.02,181.9,60.65,171.1,MTWA,1483,0,0
2018,5,4,12,0,0,1,2,-68.72,246.2,-50.71,231.6,-45.87,235.5,MTWA,1487,0,0
2018,5,4,12,0,0,1,2,6.735,204.6,25.93,202.7,28.11,199.8,MTWA,1491,0,0
2018,5,4,12,0,0,1,2,35.06,151.9,41.63,136.3,37.36,132.8,MTWA,1496,0,0
2018,5,4,12,0,0,1,2,-25.49,178.6,-9.375,181.3,-9.162,182.3,MTWA,1500,0,0
2018,5,4,12,0,0,1,2,3.683,200.9,22.59,198.9,24.42,196.4,MTWA,1504,0,0
2018,5,4,12,0,0,1,2,1.066,163.9,13.11,161.2,11.12,159.9,MTWA,1508,0,0
2018,5,4,12,0,0,1,2,-51.92,114.8,-51.17,139,-54.84,145.4,MTWA,1513,0,0
2018,5,4,12,0,0,1,2,-77.89,242,-59.17,225,-54.68,231.2,MTWA,1517,0,0
2018,5,4,12,0,0,1,2,-34.05,253.4,-18.05,247,-12.5,247.6,MTWA,1521,0,0
2018,5,4,12,0,0,1,0,-43.8,98.61,-49.49,118,-54.69,121.8,MTWA,1526,0,0
2018,5,4,12,0,0,1,0,-81.57,111.3,-70.72,188.8,-68.97,204.6,MTWA,1530,0,0
2018,5,4,12,0,0,1,0,-5.982,166,6.851,165.1,5.288,164.5,MTWA,1534,0,0
2018,5,4,12,0,0,1,0,-16.28,222,3.149,220.9,7.074,220.5,MTWA,1538,0,0
2018,5,4,12,0,0,1,0,-33.5,226,-14.24,223.7,-10.05,224.6,MTWA,1543,0,0
2018,5,4,12,0,0,1,0,-35.66,221.6,-16.21,219.8,-12.3,221,MTWA,1547,0,0
2018,5,4,12,0,0,1,0,-31.31,219.5,-11.8,218.2,-8.047,219,MTWA,1551,0,0
2018,5,4,12,0,0,1,0,-16.67,209.3,2.786,208.7,5.666,208.3,MTWA,1556,0,0
2018,5,4,12,0,0,1,0,-13.26,177.4,2.365,177.7,2.133,177.5,MTWA,1560,0,0
2018,5,4,12,0,0,1,0,-80.37,170.5,-62.78,199.5,-60.27,209.6,MTWA,1564,0,0
2018,5,4,12,0,0,1,0,-25.55,128.5,-22.91,136.5,-26.95,138.5,MTWA,1568,0,0
2018,5,4,12,0,0,1,2,76.85,236.4,81.35,1.272,79.37,35.32,MTWA,1573,0,0
2018,5,4,12,0,0,1,2,27.7,57.78,9.462,54.56,4.55,54.98,MTWA,1577,0,0
2018,5,4,12,0,0,1,0,-20.25,347.5,-32.52,339,-30.21,335.7,MTWA,1581,0,0
2018,5,4,12,0,0,1,2,47.17,313.9,41.05,331.4,43.68,336.3,MTWA,1586,0,0
2018,5,4,12,0,0,1,2,-5.142,82.88,-17.99,85.14,-23.97,84.94,MTWA,1590,0,0
2018,5,4,12,0,0,1,2,-63.12,218.9,-43.59,216.7,-39.82,220.9,MTWA,1594,0,0
2018,5,4,12,0,0,1,2,-8.483,277.6,0.8266,275.6,6.795,275.7,MTWA,1598,0,0
2018,5,4,12,0,0,1,2,-12.36,16.52,-30.76,13.05,-31.94,9.461,MTWA,1603,0,0
2018,5,4,12,0,0,1,2,-64.85,165.9,-49.49,184.6,-48.63,191.5,MTWA,1607,0,0
2018,5,4,12,0,0,1,2,-6.356,179.6,9.571,178.5,9.376,177.5,MTWA,1611,0,0
2018,5,4,12,0,0,1,2,-57.41,279.6,-45.74,258.5,-39.85,259.6,MTWA,1616,0,0
2018,5,4,12,0,0,1,2,37.42,132.6,37.37,116.7,31.97,114.9,MTWA,1620,0,0
2018,5,4,12,0,0,1,2,-8.202,202.1,10.85,201.2,12.97,200,MTWA,1624,0,0
2018,5,4,12,0,0,1,2,-40.68,320.1,-42.82,301.7,-37.64,299.2,MTWA,1628,0,0
2018,5,4,12,0,0,1,2,4.518,283.3,11.47,285.1,17.25,285.5,MTWA,1633,0,0
2018,5,4,12,0,0,1,2,-19.87,247.7,-3.135,244.8,2.3,244.8,MTWA,1637,0,0
2018,5,4,12,0,0,1,2,-37.4,333.9,-44.43,317,-40.19,313.1,MTWA,1641,0,0
2018,5,4,12,0,0,1,2,-35.16,262.3,-20.88,254.3,-15.1,254.8,MTWA,1646,0,0
2018,5,4,12,0,0,1,0,-2.127,245.1,14.76,245.4,20.21,244.6,MTWA,1650,0,0
2018,5,4,12,0,0,1,2,4.246,260.9,17.62,262.9,23.58,262.6,MTWA,1654,0,0
2018,5,4,12,0,0,1,2,47.03,322.9,38.32,338.5,40.28,343.2,MTWA,1658,0,0
2018,5,4,12,0,0,1,2,-20.89,260.8,-6.741,256.7,-0.898,256.8,MTWA,1663,0,0
2018,5,4,12,0,0,1,2,-2.046,262.4,11.16,262.8,17.11,262.6,MTWA,1667,0,0
2018,5,4,12,0,0,1,2,-23.48,248.1,-6.758,244.5,-1.331,244.7,MTWA,1671,0,0
2018,5,4,12,0,0,1,2,-18.48,242.9,-1.017,240.6,4.217,240.5,MTWA,1676,0,0
2018,5,4,12,0,0,1,2,6.329,259.5,20,262,25.94,261.6,MTWA,1680,0,0
2018,5,4,12,0,0,1,2,-5.006,256.4,9.702,256.2,15.53,255.8,MTWA,1684,0,0
2018,5,4,12,0,0,1,2,62.2,221.5,81.39,234.3,84.88,191.4,MTWA,1688,0,0
2018,5,4,12,0,0,1,2,53.39,334.1,41.29,350.4,42,355.7,MTWA,1693,0,0
2018,5,4,12,0,0,1,2,-30.6,73.24,-44.95,82.95,-50.9,82.08,MTWA,1697,0,0
2018,5,4,12,0,0,1,2,-28.83,276,-18.15,268,-12.15,268.1,MTWA,1701,0,0
2018,5,4,12,0,0,1,2,-3.906,229.1,15.06,228.8,19.54,227.5,MTWA,1706,0,0
2018,5,4,12,0,0,1,0,86.85,151.2,71.62,43.39,67.09,53.92,MTWA,1710,0,0
2018,5,4,12,0,0,1,0,13.86,212.7,33.4,211.5,36.37,207.9,MTWA,1714,0,0
2018,5,4,12,0,0,1,0,-34.63,243.7,-17.07,238.6,-11.91,239.4,MTWA,1718,0,0
