year,month,dom,hour,min,sec,kp,infi,algeo,apgeo,algsm,apgsm,algse,apgse,tag,rig,zen,azi
2018,5,4,12,0,0,1,1,-23.66,39.5,-43.15,39.8,-46.8,35.03,NAIN,1050,0,0
2018,5,4,12,0,0,1,1,-23.62,39.48,-43.1,39.77,-46.75,35,NAIN,1054,0,0
2018,5,4,12,0,0,1,1,-23.69,38.94,-43.19,39.1,-46.78,34.28,NAIN,1059,0,0
2018,5,4,12,0,0,1,1,-23.74,38.39,-43.25,38.41,-46.78,33.54,NAIN,1063,0,0
2018,5,4,12,0,0,1,1,-23.76,37.83,-43.29,37.72,-46.76,32.8,NAIN,1067,0,0
2018,5,4,12,0,0,1,1,-23.63,37.83,-43.16,37.71,-46.63,32.81,NAIN,1071,0,0
2018,5,4,12,0,0,1,1,-23.62,37.25,-43.16,36.97,-46.56,32.04,NAIN,1076,0,0
2018,5,4,12,0,0,1,1,-23.6,36.64,-43.15,36.21,-46.48,31.24,NAIN,1080,0,0
2018,5,4,12,0,0,1,1,-23.58,36,-43.13,35.41,-46.39,30.4,NAIN,1084,0,0
2018,5,4,12,0,0,1,1,-23.55,35.33,-43.1,34.57,-46.29,29.52,NAIN,1089,0,0
2018,5,4,12,0,0,1,1,-23.38,35.24,-42.93,34.45,-46.11,29.43,NAIN,1093,0,0
2018,5,4,12,0,0,1,1,-23.35,34.51,-42.91,33.54,-46,28.48,NAIN,1097,0,0
2018,5,4,12,0,0,1,1,-23.34,33.74,-42.89,32.57,-45.89,27.47,NAIN,1101,0,0
2018,5,4,12,0,0,1,1,-23.2,33.58,-42.74,32.37,-45.73,27.29,NAIN,1106,0,0
2018,5,4,12,0,0,1,1,-23.21,32.75,-42.74,31.33,-45.63,26.2,NAIN,1110,0,0
2018,5,4,12,0,0,1,1,-23.1,32.53,-42.63,31.07,-45.5,25.95,NAIN,1114,0,0
2018,5,4,12,0,0,1,1,-23.15,31.65,-42.66,29.97,-45.42,24.8,NAIN,1119,0,0
2018,5,4,12,0,0,1,1,-23.08,31.41,-42.58,29.66,-45.32,24.5,NAIN,1123,0,0
2018,5,4,12,0,0,1,1,-23.03,31.15,-42.52,29.34,-45.23,24.17,NAIN,1127,0,0
2018,5,4,12,0,0,1,1,-23,30.88,-42.48,29.01,-45.16,23.84,NAIN,1131,0,0
2018,5,4,12,0,0,1,1,-22.98,30.61,-42.46,28.67,-45.1,23.49,NAIN,1136,0,0
2018,5,4,12,0,0,1,1,-22.99,30.33,-42.45,28.33,-45.06,23.14,NAIN,1140,0,0
2018,5,4,12,0,0,1,1,-23,30.07,-42.46,27.99,-45.04,22.79,NAIN,1144,0,0
2018,5,4,12,0,0,1,1,-23.03,29.81,-42.48,27.67,-45.03,22.45,NAIN,1149,0,0
2018,5,4,12,0,0,1,1,-23.07,29.56,-42.51,27.36,-45.02,22.13,NAIN,1153,0,0
2018,5,4,12,0,0,1,1,-23.11,29.33,-42.54,27.07,-45.03,21.82,NAIN,1157,0,0
2018,5,4,12,0,0,1,1,-23.16,29.12,-42.58,26.81,-45.04,21.54,NAIN,1161,0,0
2018,5,4,12,0,0,1,1,-23.2,28.93,-42.61,26.56,-45.05,21.29,NAIN,1166,0,0
2018,5,4,12,0,0,1,1,-23.25,28.76,-42.65,26.35,-45.06,21.06,NAIN,1170,0,0
2018,5,4,12,0,0,1,1,-23.28,28.62,-42.68,26.17,-45.08,20.87,NAIN,1174,0,0
2018,5,4,12,0,0,1,1,-23.31,28.5,-42.7,26.01,-45.09,20.7,NAIN,1179,0,0
2018,5,4,12,0,0,1,1,-23.33,28.4,-42.72,25.89,-45.09,20.57,NAIN,1183,0,0
2018,5,4,12,0,0,1,1,-23.34,28.32,-42.72,25.79,-45.08,20.47,NAIN,1187,0,0
2018,5,4,12,0,0,1,1,-23.45,27.65,-42.8,24.94,-45.08,19.58,NAIN,1191,0,0
2018,5,4,12,0,0,1,1,-23.43,27.61,-42.78,24.9,-45.05,19.54,NAIN,1196,0,0
2018,5,4,12,0,0,1,1,-23.4,27.59,-42.74,24.88,-45.01,19.52,NAIN,1200,0,0
2018,5,4,12,0,0,1,1,-23.34,27.59,-42.69,24.88,-44.96,19.53,NAIN,1204,0,0
2018,5,4,12,0,0,1,1,-23.39,26.97,-42.7,24.1,-44.89,18.73,NAIN,1209,0,0
2018,5,4,12,0,0,1,1,-23.3,26.98,-42.61,24.13,-44.81,18.78,NAIN,1213,0,0
2018,5,4,12,0,0,1,1,-23.32,26.38,-42.59,23.37,-44.71,18.01,NAIN,1217,0,0
2018,5,4,12,0,0,1,1,-23.2,26.4,-42.47,23.41,-44.6,18.07,NAIN,1221,0,0
2018,5,4,12,0,0,1,1,-23.18,25.79,-42.41,22.66,-44.47,17.31,NAIN,1226,0,0
2018,5,4,12,0,0,1,1,-23.04,25.82,-42.28,22.7,-44.33,17.38,NAIN,1230,0,0
2018,5,4,12,0,0,1,1,-23,25.19,-42.19,21.94,-44.17,16.61,NAIN,1234,0,0
2018,5,4,12,0,0,1,1,-22.84,25.2,-42.03,21.97,-44.02,16.67,NAIN,1239,0,0
